,AAPL,GOOG,MSFT
2018-01-03,,,
2018-01-04,,,
2018-01-05,,,
2018-01-08,,,
2018-01-09,,,
2018-01-10,,,
2018-01-11,,,
2018-01-12,,,
2018-01-15,,,
2018-01-16,,,
2018-01-17,,,
2018-01-18,,,
2018-01-19,,,
2018-01-22,,,
2018-01-23,,,
2018-01-24,,,
2018-01-25,,,
2018-01-26,,,
2018-01-29,,,
2018-01-30,0.14995173131686823,0.119091883591474,0.15227932675292158
2018-01-31,0.15066800387495607,0.110693361370634,0.1686283774529552
2018-02-01,0.14957976214643195,0.11259730260085743,0.17372630922900828
2018-02-02,0.20601396571282066,0.2123818607732611,0.20165990202682854
2018-02-05,0.21900783666482204,0.28103533598899183,0.2552693234845819
2018-02-06,0.27379525284334066,0.29537084558419224,0.2875141846878562
2018-02-07,0.2810105076700029,0.31271469621381076,0.29616002190090546
2018-02-08,0.29014371438073394,0.3476554915011956,0.3519418254439011
2018-02-09,0.28860799992848224,0.37021096345009963,0.37205303339137646
2018-02-12,0.33082659314867974,0.37520264627816197,0.3742957835085224
2018-02-13,0.3346060500684974,0.37526757941236394,0.37165375284974134
2018-02-14,0.3361561160282645,0.37945648915310615,0.3667405871014887
2018-02-15,0.3600829075435296,0.38685660090459356,0.3733716521799729
2018-02-16,0.3599873665327256,0.38633567827437276,0.37452363356805457
2018-02-19,0.35920137446308686,0.38065463208840183,0.369332725543104
2018-02-20,0.3592244554085549,0.3783964421680125,0.37018891963766576
2018-02-21,0.35533573021000386,0.3802976358062167,0.3734152079742091
2018-02-22,0.35079453622494206,0.3792810357311715,0.37296573573261943
2018-02-23,0.35583710181197725,0.3856997063075717,0.3780288621658728
2018-02-26,0.35153889381374265,0.3904204740022309,0.38137004929208307
2018-02-27,0.35075151243964103,0.39652032962198996,0.38147579199360965
2018-02-28,0.35116792703025257,0.3971030230889009,0.37160823137440147
2018-03-01,0.3588398372596589,0.4106379485995257,0.37217306929671307
2018-03-02,0.31415133278040624,0.3772967535509158,0.35940357814995333
2018-03-05,0.2936808437488541,0.32911978983022466,0.3221901799894871
2018-03-06,0.263888891452579,0.3193006345921497,0.2965055152387874
2018-03-07,0.25133128281746464,0.3004425699377146,0.2871359052328673
2018-03-08,0.22055555408211341,0.24117341492145974,0.2005004457638263
2018-03-09,0.22363677399374268,0.2324424197158519,0.17545050874903992
2018-03-12,0.18848853286343878,0.23056722889478592,0.17404132359630126
2018-03-13,0.1951286877267674,0.2507002838044094,0.20102047812585844
2018-03-14,0.1933101123111374,0.24732085435453485,0.20059424713168436
2018-03-15,0.15796451986975463,0.2412880723407475,0.18854821195987037
2018-03-16,0.15808602569783392,0.24672785260305258,0.18653633218476007
2018-03-19,0.16920350890469718,0.27467322268378624,0.19915503156467715
2018-03-20,0.16854812091975663,0.2735891741022191,0.19746788117667588
2018-03-21,0.18801786345281518,0.2725756752659173,0.19291154852412953
2018-03-22,0.1918726664210156,0.3043726286239762,0.2201241228682159
2018-03-23,0.19468451567196698,0.3052925108148776,0.2193806760409131
2018-03-26,0.25115144723972005,0.32318087578081034,0.3459128078512319
2018-03-27,0.26548229030671344,0.35167776470560663,0.3811262801147063
2018-03-28,0.2669992830039608,0.35109472943077996,0.38109412027224826
2018-03-29,0.26419868633816923,0.3521017571052763,0.3886013895829902
2018-03-30,0.2622111441351535,0.3499892209546908,0.38845537614908493
2018-04-02,0.26163143488051355,0.3550656715544959,0.4011637052164043
2018-04-03,0.26572192791497534,0.3561359310632405,0.40522407411704287
2018-04-04,0.2747416480952563,0.35509235163040725,0.4190573347778245
2018-04-05,0.27283787421195815,0.349254750132451,0.4183137751620649
2018-04-06,0.27735338880384086,0.32862760057520846,0.41611728149073324
2018-04-09,0.27750824634675936,0.3309759636425942,0.4169697451171306
2018-04-10,0.28694929663150875,0.3346066864251433,0.41871505951264565
2018-04-11,0.2860925283103655,0.3306151047973504,0.4199316481116166
2018-04-12,0.28887588438631717,0.336324178260828,0.4254657287250537
2018-04-13,0.28920284649193867,0.3354427475768965,0.4254318347102022
2018-04-16,0.2850120387172374,0.3224530156352739,0.4224055277391303
2018-04-17,0.28900448605837953,0.3484334415145205,0.4279181648438219
2018-04-18,0.27545844633330824,0.34792312470825065,0.42677171636427813
2018-04-19,0.29109948049147755,0.3207994468348636,0.41088994629640563
2018-04-20,0.3178228902640677,0.30868309519978887,0.39655236496956103
2018-04-23,0.26700386218136063,0.2911615037437138,0.30250573326189445
2018-04-24,0.2560466156333663,0.2884485446307448,0.26211020143817754
2018-04-25,0.2543291780977429,0.2884124282633095,0.2647236181828179
2018-04-26,0.2528460434447999,0.2797725300633334,0.2648115551950185
2018-04-27,0.2555512971596078,0.2820432738368651,0.26984859941954353
2018-04-30,0.2639761977627969,0.2708026765367551,0.2603862166870174
2018-05-01,0.2744750978797032,0.2782821749782464,0.2617842709778606
2018-05-02,0.307952274596998,0.27951939991950575,0.2508477104119235
2018-05-03,0.30727869473592617,0.27935047893851267,0.251560176994874
2018-05-04,0.3168748477129731,0.28083359401024754,0.2367049485013184
2018-05-07,0.31640503913199874,0.28031437222083905,0.238341462994143
2018-05-08,0.3118391404870319,0.2755402983452834,0.22728776914575272
2018-05-09,0.31049659284540543,0.2860331622494963,0.2249093156203283
2018-05-10,0.31194684255866423,0.28665828933947096,0.2188588490172307
2018-05-11,0.3148585140902074,0.2858883044346121,0.21767007169120972
2018-05-14,0.3154566070653085,0.28526380486748887,0.21498685363644657
2018-05-15,0.31598228707416054,0.27009293890506764,0.20636684790344043
