,GOOG
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-15,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,91.88912111577034
2018-01-22,93.30475613207993
2018-01-23,93.08582305171505
2018-01-24,87.66213583344961
2018-01-25,86.38407570087595
2018-01-26,86.4936903851718
2018-01-29,86.88023263271292
2018-01-30,79.87678905163096
2018-01-31,80.51350323866683
2018-02-01,74.95058820769458
2018-02-02,46.472844094462005
2018-02-05,33.710356512062674
2018-02-06,38.163468183547025
2018-02-07,33.552075500969934
2018-02-08,26.24295931396462
2018-02-09,30.598008686131692
2018-02-12,30.598008686131664
2018-02-13,31.22235429024623
2018-02-14,33.766560666589896
2018-02-15,36.69626128553041
2018-02-16,37.73980525864195
2018-02-19,39.15288846667536
2018-02-20,39.42186806331613
2018-02-21,41.34521544727925
2018-02-22,49.04010692437613
2018-02-23,64.87823410673032
2018-02-26,63.68483286952289
2018-02-27,65.54846930527484
2018-02-28,77.06508212792349
2018-03-01,58.36938070409152
2018-03-02,57.29741196436147
2018-03-05,59.869868600331145
2018-03-06,56.91987798957599
2018-03-07,55.65167075282463
2018-03-08,58.25046765777296
2018-03-09,64.61993033284242
2018-03-12,64.1051241719959
2018-03-13,55.65151543396971
2018-03-14,58.78350488384223
2018-03-15,55.089100530831246
2018-03-16,48.18387128429601
2018-03-19,46.00648358747069
2018-03-20,48.403101743863154
2018-03-21,55.57934123800956
2018-03-22,43.33392531427541
2018-03-23,35.508927210857905
2018-03-26,42.157932449132126
2018-03-27,32.59755572816833
2018-03-28,28.66029480453527
2018-03-29,26.91103003025607
2018-03-30,25.718157665801925
2018-04-02,25.813562086283397
2018-04-03,24.60058037849062
2018-04-04,27.740408393208654
2018-04-05,29.891177177202792
2018-04-06,31.678509507518214
2018-04-09,34.150271791779474
2018-04-10,38.98311577752554
2018-04-11,43.90316003425927
2018-04-12,52.44458916452002
2018-04-13,43.87285110637268
2018-04-16,60.54116141505022
2018-04-17,68.16285508476162
2018-04-18,62.10274507251486
2018-04-19,65.35399184973339
2018-04-20,69.38597736137143
2018-04-23,65.88853242721984
2018-04-24,48.74635721988731
2018-04-25,48.37761757843264
2018-04-26,58.15136458189244
2018-04-27,53.57843153754468
2018-04-30,46.431952104410925
2018-05-01,54.15151033589607
2018-05-02,48.05717000733295
2018-05-03,48.65714809970166
2018-05-04,52.299606953752665
2018-05-07,44.97742594439712
2018-05-08,45.2590843761073
2018-05-09,48.79430822761876
2018-05-10,56.004507722658126
2018-05-11,57.69825535289452
2018-05-14,75.94774022522974
2018-05-15,66.64755852670112
2018-05-16,63.20320760091342
2018-05-17,66.0494836206592
2018-05-18,66.26418268841414
2018-05-21,64.68013712459123
2018-05-22,66.09410545342895
2018-05-23,68.6330686742153
2018-05-24,62.29887031720506
2018-05-25,58.47342753346649
2018-05-28,58.894259268272286
2018-05-29,39.68369880887243
2018-05-30,35.32483767894439
2018-05-31,44.373805583625646
2018-06-01,56.411956596126494
2018-06-04,70.111165668371
2018-06-05,69.67039382473197
2018-06-06,69.86030029898888
2018-06-07,69.48622376848526
2018-06-08,65.03529375158355
2018-06-11,72.06030218122831
2018-06-12,71.9308209207341
2018-06-13,69.83497911086602
2018-06-14,74.86014284381835
2018-06-15,74.88300900685658
2018-06-18,85.40489745596433
2018-06-19,81.78816917979992
2018-06-20,79.81583098573418
2018-06-21,65.90527639325512
2018-06-22,57.909095991502184
2018-06-25,44.40256701666561
2018-06-26,43.238876147110155
2018-06-27,42.78037084097816
2018-06-28,47.70578645176133
2018-06-29,44.77558505986938
2018-07-02,45.75581036607636
2018-07-03,40.01629411936063
2018-07-04,32.71784317937242
2018-07-05,41.44927225468662
2018-07-06,39.48979350964236
2018-07-09,45.80161467916757
2018-07-10,44.88812621446089
2018-07-11,48.78834919184762
2018-07-12,57.668721399168355
2018-07-13,70.35552389649685
2018-07-16,70.98305270614756
2018-07-17,80.33266688014001
2018-07-18,77.40634563622291
