,AAPL_ret,AAPL_logret,AAPL_ma20,AAPL_vol20,AAPL_rsi14,GOOG_ret,GOOG_logret,GOOG_ma20,GOOG_vol20,GOOG_rsi14,MSFT_ret,MSFT_logret,MSFT_ma20,MSFT_vol20,MSFT_rsi14
2018-01-30,-0.005894293007802864,-0.005911732917225749,43.643874931335446,0.14995173131686823,31.64491481001083,-0.010114117073351858,-0.010165612268634563,56.58375015258789,0.119091883591474,79.87678905163096,-0.012563887650989924,-0.012643480655192425,90.01099967956543,0.15227932675292158,73.42856270926323
2018-01-31,0.0027549347290840576,0.002751146851711774,43.58387489318848,0.15066800387495607,29.778389214260443,0.005370846035441135,0.005356474477191892,56.80240020751953,0.110693361370634,80.51350323866683,0.024477079197214202,0.024182315774231324,90.44399986267089,0.1686283774529552,77.69783821661247
2018-02-01,0.0020904623951898404,0.0020882804190405645,43.518249893188475,0.14957976214643195,24.06678862396801,-0.0019146849113751419,-0.0019165202636517906,57.00565013885498,0.11259730260085743,74.95058820769458,-0.007893905727152872,-0.007925227544172358,90.80149993896484,0.17372630922900828,69.84668433427385
2018-02-02,-0.043390146812870234,-0.04435964757246036,43.33699989318848,0.20601396571282066,17.122415284220452,-0.04778619818510965,-0.048965687667145034,57.02982521057129,0.2123818607732611,46.472844094462005,-0.02631024083098732,-0.026662548492385293,90.98099975585937,0.20165990202682854,57.66525649933332
2018-02-05,-0.024984389450691147,-0.025301797292657732,43.11374988555908,0.21900783666482204,15.243416876336283,-0.05045418191539175,-0.05177149493393667,56.90197525024414,0.28103533598899183,33.710356512062674,-0.041185430699194336,-0.042057581188163516,90.96699981689453,0.2552693234845819,48.95522891133828
2018-02-06,0.04179176341340529,0.04094208018655196,42.97249984741211,0.27379525284334066,24.86700439389037,0.02348925634143728,0.023217629084570045,56.83782520294189,0.29537084558419224,38.163468183547025,0.03784092989834864,0.03714252627415655,91.12249984741212,0.2875141846878562,53.25314894873745
2018-02-07,-0.021407136841659957,-0.021639593063639776,42.78812484741211,0.2810105076700029,22.067953132551054,-0.029631648361579388,-0.030079535612061864,56.70275020599365,0.31271469621381076,33.552075500969934,-0.018832817105214006,-0.019012413045035644,91.21199989318848,0.29616002190090546,48.773165631904234
2018-02-08,-0.027516607586757447,-0.02790228084538627,42.53649978637695,0.29014371438073394,20.030815794605317,-0.04487975361955676,-0.04591803398745807,56.44275016784668,0.3476554915011956,26.24295931396462,-0.05133353914506844,-0.0526980059488933,91.05849990844726,0.3519418254439011,39.803849491150466
2018-02-09,0.008121236320935088,0.008088436544735648,42.27799987792969,0.28860799992848224,23.391042544011526,0.036204962808682684,0.03556496481835226,56.231550216674805,0.37021096345009963,30.598008686131692,0.0372897081435819,0.03661126163218519,90.9875,0.37205303339137646,43.411449364779074
2018-02-12,0.04027877312353767,0.0394887283143338,42.098250007629396,0.33082659314867974,34.06007518393723,0.013644513942035141,0.013552265735735012,56.0557502746582,0.37520264627816197,30.598008686131664,0.010773383363057443,0.010715763936545301,90.96399993896485,0.3742957835085224,44.81078302907231
2018-02-13,0.0100177589377759,0.009967913805295886,41.95012493133545,0.3346060500684974,38.71114080423899,0.00015208890521223317,0.00015207734086721304,55.88160018920898,0.37526757941236394,31.22235429024623,0.007853748448420017,0.007823068297504756,91.03800010681152,0.37165375284974134,46.3566505204386
2018-02-14,0.0184373788902068,0.018269471132480272,41.80349979400635,0.3361561160282645,45.718855967506585,0.01672846831618524,0.016590088611387287,55.72590026855469,0.37945648915310615,33.766560666589896,0.010909447930126603,0.010850369192294115,91.07150001525879,0.3667405871014887,47.26421105246107
2018-02-15,0.03357836254964108,0.033026919761330015,41.72512493133545,0.3600829075435296,51.513303855887116,0.018528580309272513,0.01835901746850495,55.6252254486084,0.38685660090459356,36.69626128553041,0.020372273463854285,0.02016753469354716,91.1995002746582,0.3733716521799729,47.49105118802484
2018-02-16,-0.003237255330366118,-0.003242506577551034,41.649749755859375,0.3599873665327256,54.86820313624321,0.004846169515656751,0.004834464636821674,55.518450546264646,0.38633567827437276,37.73980525864195,-0.0071228538314774825,-0.007148342461470432,91.2995002746582,0.37452363356805457,46.622101932098936
2018-02-19,0.0,0.0,41.59262466430664,0.35920137446308686,56.07745973168725,0.0,0.0,55.36592559814453,0.38065463208840183,39.15288846667536,0.0,0.0,91.31900024414062,0.369332725543104,48.64170795285577
2018-02-20,-0.003363606083056414,-0.0033692757231914747,41.52774982452392,0.3592244554085549,54.906763531501056,0.006996700921123145,0.0069723375852028,55.19715061187744,0.3783964421680125,39.42186806331613,0.007826100225033938,0.0077956351479338964,91.36000022888183,0.37018891963766576,45.54301281078483
2018-02-21,-0.0045388347488741765,-0.004549166534010014,41.488374900817874,0.35533573021000386,53.61777925730942,0.008054718271709671,0.008022452175565855,55.06490058898926,0.3802976358062167,41.34521544727925,-0.01326578236346021,-0.013354558854863748,91.3435001373291,0.3734152079742091,44.70767510282326
2018-02-22,0.008359108052594433,0.00832436419305261,41.50574989318848,0.35079453622494206,65.14386860031982,-0.004238132884670898,-0.004247139225565555,54.90555057525635,0.3792810357311715,49.04010692437613,0.0026232976146907117,0.0026198627752624494,91.31350021362304,0.37296573573261943,49.89553825773819
2018-02-23,0.017391304347825987,0.017241806434505954,41.55562496185303,0.35583710181197725,74.61796711515623,0.01821746024994031,0.018053510492616453,54.782925605773926,0.3856997063075717,64.87823410673032,0.025400568149919867,0.025083334443689473,91.31350021362304,0.3780288621658728,63.47863566943835
