,AAPL
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-15,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,77.97842834282189
2018-01-22,68.89955355241591
2018-01-23,69.16335552648346
2018-01-24,54.083748578322634
2018-01-25,37.619333915453936
2018-01-26,40.814954820689216
2018-01-29,33.22799202266566
2018-01-30,31.64491481001083
2018-01-31,29.778389214260443
2018-02-01,24.06678862396801
2018-02-02,17.122415284220452
2018-02-05,15.243416876336283
2018-02-06,24.86700439389037
2018-02-07,22.067953132551054
2018-02-08,20.030815794605317
2018-02-09,23.391042544011526
2018-02-12,34.06007518393723
2018-02-13,38.71114080423899
2018-02-14,45.718855967506585
2018-02-15,51.513303855887116
2018-02-16,54.86820313624321
2018-02-19,56.07745973168725
2018-02-20,54.906763531501056
2018-02-21,53.61777925730942
2018-02-22,65.14386860031982
2018-02-23,74.61796711515623
2018-02-26,72.4254341712642
2018-02-27,78.88446718168385
2018-02-28,90.2840991804893
2018-03-01,80.60585993866337
2018-03-02,76.70095065640561
2018-03-05,75.72136430878845
2018-03-06,71.74928505717759
2018-03-07,55.862046588390875
2018-03-08,62.026692708333336
2018-03-09,67.324473102437
2018-03-12,71.50324589841308
2018-03-13,68.60365572823041
2018-03-14,62.364691114589476
2018-03-15,57.41872884218697
2018-03-16,47.41708270861354
2018-03-19,42.474436138284915
2018-03-20,42.913408591032
2018-03-21,41.19037305111659
2018-03-22,33.55673810846835
2018-03-23,26.869142774295824
2018-03-26,44.15468284025834
2018-03-27,40.746883027749476
2018-03-28,35.51245240080834
2018-03-29,32.246803359242776
2018-03-30,28.632733709298975
2018-04-02,29.21487638806292
2018-04-03,34.37013967364712
2018-04-04,39.988638370799656
2018-04-05,42.69317387656625
2018-04-06,40.75361723140862
2018-04-09,43.351270118285825
2018-04-10,52.587551532278944
2018-04-11,54.897672505387405
2018-04-12,63.35655084200205
2018-04-13,53.60292385194494
2018-04-16,65.67478208596333
2018-04-17,74.07863083373428
2018-04-18,71.38603147252383
2018-04-19,58.78851894177995
2018-04-20,48.61031960396075
2018-04-23,45.27169899826111
2018-04-24,36.61624215449017
2018-04-25,35.6627820737137
2018-04-26,42.587305730475165
2018-04-27,36.337932905540576
2018-04-30,35.74739530738884
2018-05-01,44.62331519571143
2018-05-02,53.29895168851357
2018-05-03,52.95405334566502
2018-05-04,59.44352357593292
2018-05-07,58.37366831773296
2018-05-08,59.81823749050659
2018-05-09,69.11765059444384
2018-05-10,86.10452549347582
2018-05-11,83.69409125598187
2018-05-14,88.44161077823134
2018-05-15,83.72302954219087
2018-05-16,84.26776062180508
2018-05-17,86.01464400195135
2018-05-18,82.90093704015511
2018-05-21,81.43878045547557
2018-05-22,73.56477557938655
2018-05-23,74.56105613149103
2018-05-24,62.99638177132538
2018-05-25,60.87786648547648
2018-05-28,58.530010350880445
2018-05-29,51.901385218958296
2018-05-30,39.34566410945367
2018-05-31,42.25225101381538
2018-06-01,57.448358893320176
2018-06-04,69.37452213508672
2018-06-05,68.79119306749179
2018-06-06,76.61832211879278
2018-06-07,77.56360859902847
2018-06-08,65.17519136041983
2018-06-11,65.17519136041983
2018-06-12,64.78126233445224
2018-06-13,58.714967672897075
2018-06-14,57.7622320912197
2018-06-15,50.79948987300315
2018-06-18,52.67860705232069
2018-06-19,45.062749942561084
2018-06-20,49.000553965469486
2018-06-21,35.22867446518768
2018-06-22,27.16456896203961
2018-06-25,16.036606186691174
2018-06-26,23.457475998585224
2018-06-27,23.788049120555584
2018-06-28,32.10161723856318
2018-06-29,32.25058415350847
2018-07-02,36.0350167044655
2018-07-03,32.99897611391613
2018-07-04,32.661248146484624
2018-07-05,41.11567544732159
2018-07-06,48.23635986185291
2018-07-09,61.43059024277846
2018-07-10,59.25038971932876
2018-07-11,55.4406494872451
2018-07-12,62.29378343046371
2018-07-13,70.4464701731058
2018-07-16,65.75880684390442
2018-07-17,67.49880779100337
2018-07-18,61.927943374528645
